msno,is_churn
ugx0CjOMzazClkFzU2xasmDZaoIqOUAZPsH1q0teWCg=,0
f/NmvEzHfhINFEYZTR05prUdr+E+3+oewvweYz9cCQE=,0
zLo9f73nGGT1p21ltZC3ChiRnAVvgibMyazbCxvWPcg=,0
8iF/+8HY8lJKFrTc7iR9ZYGCG2Ecrogbc2Vy5YhsfhQ=,0
K6fja4+jmoZ5xG6BypqX80Uw/XKpMgrEMdG2edFOxnA=,0
ibIHVYBqxGwrSExE63/omeDD99M5vYB3CN2HzkEY+eM=,0
kVmM8X4iBPCOfK/m1l3KR7LjFoxD1EcKYCc76F5IAWw=,0
moRTKhKIDvb+C8ZHOgmaF4dXMLk0jOn65d7a8tQ2Eds=,0
dW/tPZMDh2Oz/ksduEctJbsz0MXw3kay/1AlZCq3EbI=,0
otEcMhAX3mU4gumUSogqgteN3oaNmhdmTkoof2iRYEE=,0
t5rqTxCnG7s5VBgEfdkQCezv5KBK7+DMujNibYgylrs=,0
dfLS2/Pom6O3iUpo+mf/K1Bc6g+7LFKzoNf+zlJtDoQ=,0
a7AtvhlY8KnKZGpiVe+4HhFerqTEgmno3x7Rc7YGwzw=,0
F45GsXJIeLvzUJqz/v4R/6CVYPdek7K4Leu+aqbCRo8=,0
SJCoxreWp6Cu9WPitvAT6pZ9gChiSR4tWP4lvJGdxSM=,0
Oo2RDQixJ0pRWqec4/CksiKwhz0Za0yU2GIQtKa1JFk=,0
f91n3lDipDjRtAVNgMGnTsxP0VrzDsfB0Hdth12gqQE=,0
/L2095JD4M/BNLTCboucgyuT2i8JIiJ87bOIsxtFvBw=,0
1AzXWFlRO6EfMBzfBdk98sBVnjzY7U1G24mVFNdzGNQ=,0
